center,left,right,steering,throttle,break,speed,x,y
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_27_519.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_27_519.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_27_519.jpg,0,0,0,3.519398E-06,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_27_607.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_27_607.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_27_607.jpg,0,0,0,2.732434E-06,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_27_684.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_27_684.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_27_684.jpg,0,0,0,2.564294E-06,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_27_768.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_27_768.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_27_768.jpg,0,0,0,1.208043E-05,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_27_859.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_27_859.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_27_859.jpg,0,0,0,5.29331E-06,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_27_954.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_27_954.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_27_954.jpg,0,0,0,4.589376E-07,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_047.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_047.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_047.jpg,0,0,0,4.158842E-07,179.81,89.85886
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_163.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_163.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_163.jpg,0,0.2650888,0,0.2155846,179.8105,89.86285
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_250.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_250.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_250.jpg,0,0.5402938,0,0.7407509,179.8132,89.88471
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_341.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_341.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_341.jpg,0,0.8758528,0,1.882697,179.8223,89.95688
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_428.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_428.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_428.jpg,-0.2,1,0,2.824498,179.8312,90.04481
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_531.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_531.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_531.jpg,-0.45,1,0,3.978033,179.8386,90.20184
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_631.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_631.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_631.jpg,-0.6134795,1,0,5.109239,179.8349,90.40998
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_748.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_748.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_748.jpg,-0.2640485,1,0,6.501313,179.8315,90.72771
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_819.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_819.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_819.jpg,-0.04964161,1,0,7.41268,179.8388,90.98051
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_895.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_895.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_895.jpg,-0.1996416,1,0,8.090842,179.847,91.19133
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_28_979.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_28_979.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_28_979.jpg,-0.02680278,1,0,9.215089,179.8603,91.583
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_29_067.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_29_067.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_29_067.jpg,0,1,0,10.10634,179.8773,91.93208
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_29_151.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_29_151.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_29_151.jpg,0,1,0,10.99206,179.8979,92.31277
/Users/admin/Desktop/distracted2_IMG/center_2018_07_06_14_42_29_243.jpg,/Users/admin/Desktop/distracted2_IMG/left_2018_07_06_14_42_29_243.jpg,/Users/admin/Desktop/distracted2_IMG/right_2018_07_06_14_42_29_243.jpg,0,1,0,11.84163,179.927,92.83115
