center,left,right,steering,throttle,break,speed,x,y
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_36_729.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_36_729.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_36_729.jpg,0,0,0,3.653247E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_36_812.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_36_812.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_36_812.jpg,0,0,0,2.328525E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_36_884.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_36_884.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_36_884.jpg,0,0,0,2.877026E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_36_973.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_36_973.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_36_973.jpg,0,0,0,3.044205E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_068.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_068.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_068.jpg,0,0,0,1.971797E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_164.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_164.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_164.jpg,0,0,0,6.01776E-07,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_252.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_252.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_252.jpg,0,0,0,3.865403E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_344.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_344.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_344.jpg,0,0,0,2.398626E-06,179.81,89.85901
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_457.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_457.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_457.jpg,0,0.2633522,0,0.2117665,179.8106,89.86397
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_549.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_549.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_549.jpg,0,0.18174,0,0.5564141,179.8135,89.88734
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_637.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_637.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_637.jpg,0,0.4458418,0,0.9636586,179.817,89.91574
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_741.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_741.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_741.jpg,0,0.756678,0,1.68899,179.8245,89.9756
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_837.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_837.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_837.jpg,0,1,0,2.716613,179.8372,90.07661
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_905.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_905.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_905.jpg,0,1,0,3.408631,179.8477,90.16115
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_37_992.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_37_992.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_37_992.jpg,0,1,0,4.579636,179.8706,90.34354
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_38_089.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_38_089.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_38_089.jpg,0,1,0,5.739691,179.8999,90.57758
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_38_156.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_38_156.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_38_156.jpg,0,1,0,6.430377,179.9205,90.7426
/Users/admin/Desktop/distracted_IMG/center_2018_07_06_10_50_38_236.jpg,/Users/admin/Desktop/distracted_IMG/left_2018_07_06_10_50_38_236.jpg,/Users/admin/Desktop/distracted_IMG/right_2018_07_06_10_50_38_236.jpg,0,1,0,7.345024,179.9516,90.9911
