steering,throttle,break,speed,x,y
0,0,0,2.731141E-06,179.81,89.85886
0,0,0,3.103331E-07,179.81,89.85886
0,0,0,7.236591E-07,179.81,89.85886
0,0,0,1.168438E-05,179.81,89.85886
0,0.1443182,0,0.118328,179.8102,89.86063
0,0.408729,0,0.4128491,179.8114,89.8699
0,0.6843059,0,1.116329,179.8158,89.90588
0,0.9377879,0,2.059197,179.8233,89.96641
0,1,0,2.998632,179.835,90.06035
0,1,0,3.942956,179.8508,90.18774
0,1,0,4.877397,179.8707,90.34843
-0.25,1,0,6.023002,179.8955,90.59606
-0.4,1,0,6.691711,179.9049,90.76933
-0.6094415,1,0,7.773261,179.9034,91.0975
-0.2964063,1,0,8.907957,179.8906,91.47519
-0.02111149,1,0,10.01706,179.8913,91.90322
0,1,0,10.89935,179.9028,92.281
0,1,0,12.12751,179.923,92.79791
-0.2,1,0,12.82272,179.936,93.24373
-0.45,1,0,13.80548,179.9252,93.84447
-0.4345443,1,0,14.97287,179.8559,94.62163
-0.2168941,1,0,15.84224,179.794,95.17646
0,1,0,16.6516,179.7362,95.7618
0,1,0,17.48841,179.6817,96.37724
0,1,0,18.70618,179.6122,97.18916
0,1,0,19.17003,179.5689,97.69722
0,1,0,20.31062,179.4936,98.58202
-0.1,1,0,21.22768,179.413,99.5108
-0.3,1,0,21.99482,179.329,100.2837
-0.5000001,1,0,22.68518,179.2047,101.0768
-0.3722938,1,0,23.42048,179.0292,101.8855
-0.1078677,1,0,24.40662,178.7666,102.9264
0,1,0,25.35241,178.4848,104.0067
0,1,0,26.11318,178.2489,104.8997
0,1,0,26.87039,178.0028,105.8182
0,1,0,27.80842,177.6814,107.0017
-0.1,1,0,28.54926,177.4127,107.9765
-0.3,1,0,29.23789,177.1176,108.9702
-0.5500001,1,0,29.96939,176.6728,110.2203
-0.4088459,1,0,30.75447,176.1103,111.458
-0.14487,1,0,31.48598,175.59,112.4455
0,1,0,32.35672,174.8914,113.6942
0,1,0,33.06104,174.3024,114.7085
0,1,0,33.93646,173.5321,115.9974
0,1,0,34.63071,172.8913,117.0463
0,1,0,35.4908,172.0629,118.3814
-0.25,1,0,36.3055,171.1948,119.7358
-0.45,1,0,36.85255,170.4435,120.81
-0.2622575,1,0,37.60966,169.4073,122.1156
0,1,0,38.27283,168.5155,123.1423
0,1,0,39.09141,167.3488,124.4236
0,1,0,39.9062,166.1317,125.7079
0,1,0,40.43326,164.8714,126.9988
0,1,0,40.43337,163.8509,128.0232
0,1,0,40.43334,162.5657,129.2943
0,1,0,40.43338,161.2729,130.5575
0,1,0,40.43338,159.9745,131.8151
0,1,0,40.43337,158.933,132.8182
-0.1,1,0,40.43047,157.6275,134.0683
-0.35,1,0,40.4019,156.2963,135.2896
-0.1306854,1,0,40.43296,154.9133,136.4528
0,1,0,40.43299,153.5003,137.5798
0,1,0,40.4334,152.0691,138.6839
0,1,0,40.43338,150.6245,139.7702
0,1,0,40.43338,149.4615,140.6296
0,1,0,40.4334,147.7084,141.9067
0,1,0,40.43338,146.2416,142.963
0,1,0,40.43338,144.7712,144.0143
-0.25,1,0,40.41555,143.2898,145.0493
-0.2977831,1,0,40.41953,141.7671,146.0207
0,1,0,40.43128,140.2019,146.9245
0,1,0,40.43333,138.2963,147.9605
0,1,0,40.43338,136.693,148.795
0,1,0,40.43316,134.7561,149.7713
-0.15,1,0,40.4267,132.808,150.7247
-0.2126788,1,0,40.42608,130.8283,151.6087
0,1,0,40.433,129.1541,152.2899
0,1,0,40.43339,127.1311,153.0725
0,1,0,40.43338,125.0977,153.8273
0,1,0,40.43314,123.0572,154.5629
0,1,0,40.4334,120.6707,155.4046
-0.15,1,0,40.42662,118.6208,156.1131
-0.45,1,0,40.38684,116.5487,156.748
-0.5397002,1,0,40.39023,114.4295,157.1904
-0.1548153,1,0,40.43688,111.911,157.4262
0,1,0,40.43226,109.7428,157.4772
0,1,0,40.43341,107.5741,157.4444
0,1,0,40.43329,105.407,157.354
0,1,0,40.4369,103.6025,157.2484
0,1,0,40.4326,101.4388,157.0979
0,1,0,40.43154,99.27626,156.9306
0,1,0,40.43326,97.47481,156.783
0,1,0,40.43387,95.31361,156.5992
0,1,0,40.43316,93.15279,156.4104
0,1,0,40.43303,91.35236,156.2505
0,1,0,40.43234,89.19199,156.057
0.15,1,0,40.42978,87.03135,155.8676
0.1573981,1,0,40.4284,84.86698,155.7375
0,1,0,40.43403,82.69932,155.6609
0,1,0,40.43461,80.53079,155.6117
0,1,0,40.43708,78.3619,155.5815
0,1,0,40.43353,76.19294,155.5635
0,1,0,40.43377,75.10843,155.5579
-0.3,1,0,40.40953,72.94024,155.5263
-0.3331736,1,0,40.41827,70.77839,155.3765
0,1,0,40.43193,68.62714,155.1007
0,1,0,40.43414,66.48516,154.7596
0,1,0,40.43363,65.06145,154.5065
0,1,0,40.43345,63.99558,154.3063
0,1,0,40.43335,61.86781,153.8852
0,1,0,40.43332,60.45159,153.5931
0,1,0,40.43335,58.68323,153.2189
0,1,0,40.43334,56.21008,152.683
0,1,0,40.43392,54.09182,152.2165
0,1,0,40.43414,51.62168,151.6668
0,1,0,40.43375,49.50504,151.1927
-0.15,1,0,40.42713,47.38997,150.7123
-0.202383,1,0,40.42683,45.29076,150.1699
0,1,0,40.43306,43.20805,149.5643
0,1,0,40.4334,41.13489,148.9266
0,1,0,40.43337,39.06886,148.2661
0,1,0,40.43339,37.00798,147.5897
0,1,0,40.43338,34.9507,146.9025
0,1,0,40.43338,32.89588,146.2079
0,1,0,40.4334,31.86912,145.8586
0,1,0,40.43339,29.81655,145.1574
0,1,0,40.4334,27.76487,144.4536
-0.3,1,0,40.40918,25.7227,143.7247
-0.01388705,1,0,40.43303,23.70774,142.9225
0,1,0,40.43309,22.70642,142.506
0,1,0,40.43344,20.71241,141.6524
0,1,0,40.43338,18.39727,140.6308
0,1,0,40.43338,16.4196,139.7399
0,1,0,40.43338,15.43244,139.2908
0,1,0,40.43338,13.46056,138.3873
0,1,0,40.43338,11.16296,137.3267
0,1,0,40.43338,10.17894,136.8708
0,1,0,40.4334,7.883966,135.8046
0,1,0,40.43344,6.900745,135.3469
0,1,0,40.43338,5.917675,134.8889
0,1,0,40.4334,3.624269,133.8194
0,1,0,40.4334,2.641511,133.3607
0,1,0,40.4334,1.658808,132.9019
-0.2,1,0,40.42186,0.3523832,132.2825
0,1,0,40.43333,-1.597566,131.3326
0,1,0,40.4334,-3.866023,130.2111
0,1,0,40.4334,-4.836602,129.7272
0,1,0,40.43338,-7.098528,128.5926
0,1,0,40.4334,-8.067008,128.1045
0,1,0,40.43344,-9.357674,127.4524
0,1,0,40.43338,-10.32528,126.9626
0,1,0,40.43338,-12.58209,125.8178
-0.15,1,0,40.42682,-13.54705,125.323
0,1,0,40.43338,-15.79095,124.1532
0,1,0,40.4334,-17.71019,123.1426
0,1,0,40.4334,-18.98816,122.466
0,1,0,40.4334,-19.94602,121.9574
0,1,0,40.43339,-22.17946,120.7677
0,1,0,40.43363,-24.09247,119.7454
0,1,0,40.43402,-25.36712,119.0625
0,1,0,40.43274,-26.32272,118.5497
0,1,0,40.43298,-27.59639,117.8651
-0.3,1,0,40.40921,-29.4936,116.8151
-0.1790736,1,0,40.42939,-30.73571,116.0752
0,1,0,40.43237,-31.65832,115.5052
0,1,0,40.43321,-32.88116,114.7335
0,1,0,40.43337,-33.79359,114.1472
0,1,0,40.43341,-35.00493,113.3575
0,1,0,40.43343,-37.11365,111.9586
0,1,0,40.43345,-38.01409,111.3541
0,1,0,40.43346,-38.91301,110.7474
0,1,0,40.43347,-40.10967,109.9356
0,1,0,40.43346,-41.00601,109.3251
0,1,0,40.43319,-42.19991,108.5092
0,1,0,40.4333,-43.39271,107.6918
0,1,0,40.43294,-44.28676,107.0779
-0.15,1,0,40.42681,-45.17805,106.4602
-0.35,1,0,40.40254,-46.34861,105.6126
0,1,0,40.43266,-48.33874,104.0502
0,1,0,40.43341,-49.17937,103.365
0,1,0,40.43367,-50.29177,102.4411
0,1,0,40.43371,-51.12073,101.7418
0,1,0,40.43372,-52.22018,100.8025
0,1,0,40.43437,-53.04121,100.0939
