center,left,right,steering,throttle,break,speed,x,y
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_06_59_731.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_06_59_731.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_06_59_731.jpg,0,0,0,4.925201E-06,179.81,89.85886
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_06_59_844.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_06_59_844.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_06_59_844.jpg,0,0,0,1.210894E-05,179.81,89.85886
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_06_59_928.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_06_59_928.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_06_59_928.jpg,0,0,0,1.160916E-05,179.81,89.85886
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_002.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_002.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_002.jpg,0,0,0,4.70348E-06,179.81,89.85886
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_078.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_078.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_078.jpg,0,0,0,3.103919E-06,179.81,89.85886
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_179.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_179.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_179.jpg,0,0,0,1.823533E-06,179.81,89.85886
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_283.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_283.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_283.jpg,0,0.2393639,0,0.1505542,179.8104,89.86237
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_344.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_344.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_344.jpg,0,0.490698,0,0.6225704,179.8124,89.87843
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_416.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_416.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_416.jpg,0,0.7078711,0,1.269918,179.8169,89.91432
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_543.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_543.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_543.jpg,0,1,0,2.62515,179.8305,90.02311
/Users/admin/Desktop/speed_IMG/center_2018_07_09_11_07_00_635.jpg,/Users/admin/Desktop/speed_IMG/left_2018_07_09_11_07_00_635.jpg,/Users/admin/Desktop/speed_IMG/right_2018_07_09_11_07_00_635.jpg,0,1,0,3.800384,179.849,90.17083
