t,x,y,s,d,yaw, speed
0,909.48,1128.67,124.834,6.16483,0,0
1,909.484,1128.67,124.838,6.16487,0,0.225277
2,909.492,1128.67,124.846,6.16494,0,0.225277
3,909.498,1128.67,124.852,6.16499,0,0.225277
4,909.506,1128.67,124.86,6.16506,0,0.218451
5,909.512,1128.67,124.866,6.16511,0,0.225277
6,909.518,1128.67,124.872,6.16516,0,0.225277
7,909.526,1128.67,124.88,6.16523,0,0.225277
8,909.532,1128.67,124.886,6.16528,0,0.218451
9,909.54,1128.67,124.894,6.16535,0,0.218451
10,909.548,1128.67,124.902,6.16542,0,0.218451
11,909.554,1128.67,124.908,6.16547,0,0.238931
12,909.562,1128.67,124.916,6.16554,0,0.238931
13,909.57,1128.67,124.924,6.16561,0,0.211624
14,909.576,1128.67,124.93,6.16566,0,0.225277
15,909.588,1128.67,124.942,6.16577,0,0.450555
16,909.612,1128.67,124.966,6.16597,0,0.669006
17,909.636,1128.67,124.99,6.16618,0,0.894283
18,909.676,1128.67,125.03,6.16653,0,1.11956
19,909.726,1128.67,125.08,6.16696,0,1.57011
20,909.77,1128.67,125.124,6.16734,0,1.78857
21,909.836,1128.67,125.19,6.16791,0,2.01384
22,909.912,1128.67,125.266,6.16857,0,2.23912
23,909.996,1128.67,125.349,6.16929,0,2.45757
24,910.3,1128.67,125.653,6.17192,0,3.14706
25,910.418,1128.67,125.771,6.17294,0,3.35186
26,910.545,1128.67,125.899,6.17404,0,3.57713
27,910.613,1128.67,125.967,6.17463,0,3.78876
28,910.753,1128.67,126.107,6.17584,0,4.01403
29,910.903,1128.67,126.257,6.17713,0,4.23931
30,911.021,1128.67,126.375,6.17815,0,4.47824
31,911.185,1128.67,126.538,6.17957,0,4.69669
32,911.359,1128.67,126.712,6.18107,0,4.92197
33,911.541,1128.67,126.894,6.18264,0,5.13359
34,911.683,1128.67,127.036,6.18387,0,5.37253
35,911.879,1128.67,127.232,6.18557,0,5.57732
36,912.078,1128.67,127.432,6.18729,0,5.5978
37,912.228,1128.67,127.582,6.18859,0,5.59098
38,912.43,1128.67,127.784,6.19033,0,5.81625
39,912.64,1128.67,127.994,6.19215,0,6.0347
40,912.858,1128.67,128.211,6.19403,0,6.25315
41,913.088,1128.67,128.441,6.19602,0,6.47161
42,913.325,1128.67,128.679,6.19807,0,6.69688
43,913.509,1128.67,128.863,6.19966,0,6.92899
44,913.827,1128.67,129.18,6.20241,0,7.16109
45,914.025,1128.67,129.378,6.20412,0,7.36589
46,914.362,1128.67,129.716,6.20704,0,7.59117
47,914.644,1128.67,129.998,6.20947,0,8.04172
48,914.934,1128.67,130.287,6.21197,0,8.267
49,915.231,1128.67,130.585,6.21455,0,8.49227
50,915.539,1128.67,130.893,6.2172,0,8.71755
51,915.855,1128.67,131.208,6.21993,0,8.936
52,916.178,1128.67,131.532,6.22273,0,9.16128
53,916.51,1128.67,131.863,6.2256,0,9.38656
54,916.849,1128.67,132.203,6.22853,0,9.61183
55,917.197,1128.67,132.55,6.23153,0,9.83029
56,917.554,1128.67,132.908,6.23462,0,10.0556
57,917.826,1128.67,133.179,6.23502,0.609566,10.2814
58,918.197,1128.68,133.551,6.2342,0.596497,10.493
59,918.575,1128.68,133.928,6.23148,1.1682,10.7268
60,918.961,1128.69,134.314,6.22688,1.17992,10.952
61,919.254,1128.7,134.608,6.22332,1.1679,10.9523
62,919.654,1128.7,135.007,6.21884,1.14494,11.1704
63,920.061,1128.71,135.415,6.2143,1.12253,11.4028
64,920.373,1128.72,135.727,6.21102,1.11231,11.6075
65,920.794,1128.73,136.148,6.20672,1.35559,11.8461
66,921.224,1128.74,136.578,6.19835,1.58974,12.0674
67,921.552,1128.75,136.905,6.19227,1.56148,12.2854
68,921.995,1128.76,137.349,6.18109,2.03369,12.5071
69,922.446,1128.78,137.8,6.16595,2.52098,12.7371
70,922.79,1128.8,138.144,6.15195,2.96054,12.9673
71,923.257,1128.82,138.612,6.13194,2.90927,13.1923
72,923.612,1128.84,138.967,6.11707,2.86118,13.4173
73,924.094,1128.87,139.448,6.09523,3.30191,13.6413
74,924.583,1128.89,139.938,6.07139,3.24991,13.8738
75,924.956,1128.91,140.311,6.05362,3.19874,14.0919
76,925.461,1128.94,140.816,6.02808,3.58452,14.3156
77,925.844,1128.97,141.2,6.00734,3.5574,14.3088
78,926.365,1129,141.721,5.97986,3.47845,14.7517
79,926.76,1129.03,142.117,5.95825,3.8988,14.7596
80,927.295,1129.06,142.651,5.92687,3.84068,14.9911
81,927.702,1129.09,143.059,5.90341,3.78679,15.1955
82,928.115,1129.12,143.472,5.88,3.73137,15.433
83,928.532,1129.14,143.889,5.85663,3.68012,15.6578
84,929.095,1129.18,144.452,5.82548,3.62872,15.8758
85,929.524,1129.21,144.881,5.80209,3.57647,16.1015
86,929.957,1129.23,145.315,5.77886,3.52714,16.3264
87,930.396,1129.26,145.754,5.75568,3.50352,16.5512
88,930.839,1129.29,146.197,5.73253,3.48199,16.5376
89,931.288,1129.31,146.647,5.70944,3.62029,16.7684
90,931.741,1129.34,147.1,5.68332,3.78071,17.001
91,932.2,1129.37,147.559,5.65726,3.73203,17.2258
92,932.818,1129.42,148.178,5.61964,4.04292,17.4443
93,933.289,1129.45,148.649,5.59075,4.01586,17.6554
94,933.764,1129.48,149.124,5.56178,3.94198,17.8938
95,934.245,1129.52,149.605,5.53297,3.89374,18.1117
96,934.729,1129.55,150.09,5.50311,4.23628,18.1136
97,935.22,1129.59,150.581,5.47134,4.18536,18.3315
98,935.717,1129.62,150.529,5.4827,4.13266,18.5688
99,936.219,1129.66,151.032,5.50158,4.08493,18.7935
100,936.897,1129.71,151.712,5.52658,4.36504,19.0205
101,937.412,1129.75,152.227,5.54383,4.3158,19.2372
102,937.932,1129.79,152.749,5.56064,4.60685,19.4578
103,938.458,1129.83,153.277,5.57613,4.55605,19.6755
104,938.99,1129.87,153.81,5.59131,4.81923,19.8954
105,939.528,1129.92,154.35,5.60408,5.07403,20.1293
106,940.072,1129.96,154.896,5.61554,5.0216,20.3401
107,940.621,1130.01,155.447,5.62657,5.28748,20.596
108,941.177,1130.07,156.005,5.6353,5.41058,20.7966
109,941.736,1130.12,156.567,5.64557,5.35443,21.0094
110,942.491,1130.19,157.325,5.65507,5.70953,21.2612
111,942.873,1130.23,157.708,5.65877,5.84473,21.4663
112,943.449,1130.29,158.288,5.66194,5.93147,21.6947
113,944.032,1130.35,158.874,5.66564,6.01276,21.9188
114,944.817,1130.43,159.664,5.66661,6.34807,22.1457
115,945.414,1130.5,160.264,5.66484,6.56449,22.3683
116,946.015,1130.57,160.87,5.66176,6.68678,22.5785
117,946.621,1130.64,161.48,5.65608,6.77729,22.8233
118,947.233,1130.71,162.095,5.65101,6.84718,23.0335
119,947.644,1130.76,162.509,5.64609,6.90204,23.2481
120,948.265,1130.84,163.135,5.63906,6.85453,23.4802
121,948.892,1130.91,163.767,5.63073,7.05592,23.7035
122,949.737,1131.02,164.619,5.61638,7.25149,23.9406
123,950.378,1131.1,165.264,5.60551,7.31473,24.1573
124,951.024,1131.19,165.916,5.59234,7.5063,24.3743
125,951.677,1131.27,166.574,5.57677,7.58395,24.6001
126,952.335,1131.36,167.237,5.56195,7.64041,24.8149
127,952.996,1131.45,167.905,5.54649,7.44791,25.045
128,953.667,1131.54,168.581,5.53286,7.523,25.2634
129,954.342,1131.63,169.262,5.51694,7.70132,25.4942
130,955.024,1131.72,169.95,5.49861,7.75884,25.705
131,955.709,1131.81,170.641,5.47876,7.93713,25.9431
132,956.4,1131.91,171.338,5.45648,8.11034,26.1543
133,957.33,1132.04,172.278,5.42651,8.17353,26.3909
134,958.034,1132.15,172.989,5.4017,8.22739,26.6023
135,958.745,1132.25,173.706,5.37753,8.12452,26.8272
136,959.463,1132.35,174.431,5.35337,8.28565,27.0706
137,960.187,1132.46,175.162,5.32766,8.22183,27.2753
138,960.917,1132.56,175.899,5.30173,8.31611,27.5072
139,961.651,1132.67,176.64,5.27722,8.24979,27.7145
140,962.39,1132.78,177.387,5.24931,8.40735,27.9555
141,963.385,1132.92,178.392,5.21338,8.20062,28.1625
142,964.138,1133.03,179.153,5.18698,8.13697,28.3787
143,964.898,1133.14,179.919,5.16123,8.07524,28.5949
144,965.663,1133.25,180.627,5.13991,8.01633,28.8045
145,966.434,1133.36,180.868,5.20618,7.94125,29.0208
146,967.472,1133.5,181.912,5.29717,7.97075,29.4535
147,968.256,1133.61,182.701,5.3665,7.91501,29.6699
148,969.047,1133.72,183.496,5.43502,8.06945,29.881
149,969.84,1133.84,184.295,5.50148,8.26349,29.8983
150,970.907,1133.99,185.37,5.58827,8.38829,30.313
151,971.713,1134.11,186.183,5.64961,8.857,30.5369
152,972.524,1134.24,187.002,5.70735,9.0141,30.7561
153,973.341,1134.37,187.826,5.76326,9.15754,30.9621
154,974.162,1134.5,188.657,5.81737,9.29906,31.1637
155,974.989,1134.64,189.493,5.86789,9.6499,31.3949
156,975.82,1134.79,190.336,5.91356,9.98466,31.6205
157,976.935,1134.99,191.468,5.96601,10.5381,31.8424
158,977.776,1135.15,192.323,5.99928,10.8741,32.0641
159,978.622,1135.31,193.184,6.0277,11.2078,32.2893
160,979.472,1135.48,194.052,6.04943,11.7153,32.5149
161,980.328,1135.66,194.926,6.06533,12.144,32.7364
162,981.186,1135.85,195.804,6.07507,12.5008,32.7589
163,982.049,1136.05,196.689,6.07908,12.8168,32.9731
164,983.207,1136.31,197.878,6.07713,13.2753,33.4125
165,984.081,1136.52,198.776,6.06992,13.567,33.6421
166,984.958,1136.74,199.678,6.05748,13.9174,33.6372
167,985.839,1136.96,200.587,6.03916,14.2048,33.8623
168,986.725,1137.18,201.501,6.01617,14.4995,34.0815
169,987.615,1137.42,202.421,5.98734,14.98,34.3397
170,988.81,1137.74,203.658,5.93886,15.3915,34.7875
171,989.711,1137.99,204.592,5.89464,15.8545,35.0103
172,990.615,1138.26,205.532,5.84266,16.322,35.2421
