center,left,right,steering,throttle,break,speed,x,y
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_39_778.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_39_778.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_39_778.jpg,0,0,0,5.555959E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_39_858.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_39_858.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_39_858.jpg,0,0,0,5.767244E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_39_953.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_39_953.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_39_953.jpg,0,0,0,7.352332E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_021.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_021.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_021.jpg,0,0,0,9.879794E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_102.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_102.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_102.jpg,0,0,0,2.214709E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_191.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_191.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_191.jpg,0,0,0,2.944999E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_282.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_282.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_282.jpg,0,0,0,1.13384E-06,179.81,89.85886
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_373.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_373.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_373.jpg,0,0.1296061,0,0.1057781,179.8102,89.86074
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_483.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_483.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_483.jpg,0,0.3838921,0,0.3801206,179.8114,89.87044
/Users/admin/Desktop/normal_IMG/center_2018_07_06_10_34_40_574.jpg,/Users/admin/Desktop/normal_IMG/left_2018_07_06_10_34_40_574.jpg,/Users/admin/Desktop/normal_IMG/right_2018_07_06_10_34_40_574.jpg,0,0.7437662,0,1.292765,179.8174,89.91798
